Name,ReadName,ReadLength,AlignmentLength,Identity,I_Begin
rhodobacter_sphaeroides,SRR072233.9730,383nt,202,99.01,2589061
rhodobacter_sphaeroides,SRR072233.9764,524nt,211,100.00,16196
rhodobacter_sphaeroides,SRR072233.9811,473nt,426,99.77,2989461
rhodobacter_sphaeroides,SRR072233.9858,505nt,500,99.80,218291
rhodobacter_sphaeroides,SRR072233.9874,492nt,204,96.12,317876
rhodobacter_sphaeroides,SRR072233.9889,437nt,378,100.00,49559
rhodobacter_sphaeroides,SRR072233.9902,549nt,255,100.00,1390751
rhodobacter_sphaeroides,SRR072233.10142,513nt,466,99.79,1427970
rhodobacter_sphaeroides,SRR072233.10203,517nt,453,99.78,913747
rhodobacter_sphaeroides,SRR072233.10226,495nt,447,99.55,1693394
rhodobacter_sphaeroides,SRR072233.10274,512nt,250,96.02,9260
rhodobacter_sphaeroides,SRR072233.10334,410nt,355,100.00,2046836
rhodobacter_sphaeroides,SRR072233.10370,514nt,379,98.68,22338
rhodobacter_sphaeroides,SRR072233.10403,478nt,468,100.00,1769569
rhodobacter_sphaeroides,SRR072233.10440,447nt,389,100.00,1761376
rhodobacter_sphaeroides,SRR072233.10518,452nt,406,100.00,313375
rhodobacter_sphaeroides,SRR072233.10525,535nt,77,93.59,982625
rhodobacter_sphaeroides,SRR072233.10605,468nt,419,99.76,1222880
rhodobacter_sphaeroides,SRR072233.10625,455nt,336,99.11,980340
rhodobacter_sphaeroides,SRR072233.10707,486nt,53,92.45,213967
rhodobacter_sphaeroides,SRR072233.10930,509nt,224,98.66,17121
rhodobacter_sphaeroides,SRR072233.11027,492nt,467,99.79,1851275
rhodobacter_sphaeroides,SRR072233.11039,508nt,439,99.32,2442660
rhodobacter_sphaeroides,SRR072233.11135,392nt,343,99.71,36743
rhodobacter_sphaeroides,SRR072233.11239,516nt,454,99.56,56454
rhodobacter_sphaeroides,SRR072233.11244,504nt,504,100.00,1903585
rhodobacter_sphaeroides,SRR072233.11249,487nt,385,99.74,2498207
rhodobacter_sphaeroides,SRR072233.11279,477nt,438,99.32,330539
rhodobacter_sphaeroides,SRR072233.11409,505nt,52,92.31,402649
rhodobacter_sphaeroides,SRR072233.11545,493nt,48,91.67,3054670
rhodobacter_sphaeroides,SRR072233.11580,522nt,50,90.00,2722496
rhodobacter_sphaeroides,SRR072233.11647,494nt,422,99.76,2988944
rhodobacter_sphaeroides,SRR072233.11671,498nt,445,99.11,313895
rhodobacter_sphaeroides,SRR072233.11730,541nt,538,98.89,1315812
rhodobacter_sphaeroides,SRR072233.11734,520nt,475,98.74,2006548
rhodobacter_sphaeroides,SRR072233.11930,507nt,450,99.11,1870972
rhodobacter_sphaeroides,SRR072233.11939,654nt,84,98.81,3004199
rhodobacter_sphaeroides,SRR072233.11945,462nt,182,96.17,82988
rhodobacter_sphaeroides,SRR072233.11948,347nt,297,100.00,2220575
rhodobacter_sphaeroides,SRR072233.11965,481nt,410,99.51,2498183
rhodobacter_sphaeroides,SRR072233.11992,535nt,54,92.59,2331144
rhodobacter_sphaeroides,SRR072233.12019,481nt,432,99.77,31607
rhodobacter_sphaeroides,SRR072233.12052,516nt,471,99.79,815584
rhodobacter_sphaeroides,SRR072233.12053,367nt,319,100.00,314668
rhodobacter_sphaeroides,SRR072233.12104,505nt,430,97.91,120438
rhodobacter_sphaeroides,SRR072233.12173,492nt,428,99.30,2133329
rhodobacter_sphaeroides,SRR072233.12248,485nt,434,99.77,306078
rhodobacter_sphaeroides,SRR072233.12248,485nt,43,90.70,63006
rhodobacter_sphaeroides,SRR072233.12526,183nt,137,100.00,621309
rhodobacter_sphaeroides,SRR072233.12628,511nt,511,99.42,2503463
rhodobacter_sphaeroides,SRR072233.12666,484nt,430,100.00,69702
rhodobacter_sphaeroides,SRR072233.12666,484nt,131,93.89,56244
rhodobacter_sphaeroides,SRR072233.12707,465nt,410,100.00,3041231
rhodobacter_sphaeroides,SRR072233.12729,504nt,304,90.26,78411
rhodobacter_sphaeroides,SRR072233.12907,501nt,369,99.46,526833
rhodobacter_sphaeroides,SRR072233.12949,349nt,42,95.24,1128683
rhodobacter_sphaeroides,SRR072233.12982,426nt,372,99.73,1850449
rhodobacter_sphaeroides,SRR072233.13030,387nt,151,96.03,2240972
rhodobacter_sphaeroides,SRR072233.13070,566nt,47,93.62,213967
rhodobacter_sphaeroides,SRR072233.13107,467nt,418,100.00,1067092
rhodobacter_sphaeroides,SRR072233.13143,517nt,517,99.61,461464
rhodobacter_sphaeroides,SRR072233.13150,432nt,380,99.47,463665
rhodobacter_sphaeroides,SRR072233.13262,734nt,297,90.30,3051750
rhodobacter_sphaeroides,SRR072233.13383,465nt,410,99.51,2669080
rhodobacter_sphaeroides,SRR072233.13387,514nt,458,99.56,56448
rhodobacter_sphaeroides,SRR072233.13399,98nt,75,96.15,2116963
rhodobacter_sphaeroides,SRR072233.13400,429nt,41,90.24,2916004
rhodobacter_sphaeroides,SRR072233.13401,491nt,81,93.83,1388
rhodobacter_sphaeroides,SRR072233.13401,491nt,81,93.83,1390
rhodobacter_sphaeroides,SRR072233.13401,491nt,81,93.83,35063
rhodobacter_sphaeroides,SRR072233.13401,491nt,61,90.16,704752
rhodobacter_sphaeroides,SRR072233.13554,522nt,121,90.91,1217
rhodobacter_sphaeroides,SRR072233.13554,522nt,121,90.91,1219
rhodobacter_sphaeroides,SRR072233.13554,522nt,121,90.91,34892
rhodobacter_sphaeroides,SRR072233.13619,487nt,434,100.00,774760
rhodobacter_sphaeroides,SRR072233.13625,511nt,54,92.59,63732
rhodobacter_sphaeroides,SRR072233.13659,496nt,496,99.40,2597328
rhodobacter_sphaeroides,SRR072233.13661,504nt,55,90.91,807289
rhodobacter_sphaeroides,SRR072233.13735,406nt,358,99.44,1683337
rhodobacter_sphaeroides,SRR072233.13762,478nt,393,98.98,1069500
rhodobacter_sphaeroides,SRR072233.13800,521nt,519,96.92,75401
rhodobacter_sphaeroides,SRR072233.13814,560nt,56,91.07,1816
rhodobacter_sphaeroides,SRR072233.13814,560nt,56,91.07,35491
rhodobacter_sphaeroides,SRR072233.13866,410nt,354,99.72,1551647
rhodobacter_sphaeroides,SRR072233.13876,477nt,476,99.79,177990
rhodobacter_sphaeroides,SRR072233.13885,518nt,50,94.00,300116
rhodobacter_sphaeroides,SRR072233.13885,518nt,51,90.20,323774
rhodobacter_sphaeroides,SRR072233.13934,513nt,476,99.37,1321242
rhodobacter_sphaeroides,SRR072233.13952,445nt,396,100.00,75205
rhodobacter_sphaeroides,SRR072233.13986,393nt,334,99.70,833812
rhodobacter_sphaeroides,SRR072233.14215,466nt,59,100.00,1410
rhodobacter_sphaeroides,SRR072233.14215,466nt,59,100.00,1412
rhodobacter_sphaeroides,SRR072233.14215,466nt,59,100.00,35085
rhodobacter_sphaeroides,SRR072233.14215,466nt,61,90.16,704752
rhodobacter_sphaeroides,SRR072233.14362,439nt,389,99.74,2794581
rhodobacter_sphaeroides,SRR072233.14371,319nt,271,100.00,1049757
rhodobacter_sphaeroides,SRR072233.14426,491nt,242,98.76,267340
rhodobacter_sphaeroides,SRR072233.14482,443nt,381,99.48,67164
rhodobacter_sphaeroides,SRR072233.14580,522nt,498,99.80,3042539
rhodobacter_sphaeroides,SRR072233.14602,498nt,498,100.00,39489
rhodobacter_sphaeroides,SRR072233.14603,522nt,420,98.10,303505
rhodobacter_sphaeroides,SRR072233.14635,515nt,459,99.56,1703931
rhodobacter_sphaeroides,SRR072233.14685,531nt,204,99.02,1886264
rhodobacter_sphaeroides,SRR072233.14703,373nt,325,100.00,7578
rhodobacter_sphaeroides,SRR072233.14725,467nt,53,92.45,213967
rhodobacter_sphaeroides,SRR072233.14757,496nt,493,99.80,668466
rhodobacter_sphaeroides,SRR072233.14792,455nt,402,99.26,819744
rhodobacter_sphaeroides,SRR072233.14884,473nt,420,99.53,887330
rhodobacter_sphaeroides,SRR072233.14903,488nt,438,100.00,2220541
rhodobacter_sphaeroides,SRR072233.14930,460nt,404,100.00,2556500
rhodobacter_sphaeroides,SRR072233.14937,417nt,40,92.50,74622
rhodobacter_sphaeroides,SRR072233.14985,503nt,438,99.54,2514172
rhodobacter_sphaeroides,SRR072233.15123,368nt,322,100.00,815086
rhodobacter_sphaeroides,SRR072233.15132,499nt,43,90.70,384707
rhodobacter_sphaeroides,SRR072233.15248,504nt,43,90.70,384707
rhodobacter_sphaeroides,SRR072233.15288,484nt,433,99.77,83658
rhodobacter_sphaeroides,SRR072233.15425,520nt,118,90.68,1238
rhodobacter_sphaeroides,SRR072233.15425,520nt,118,90.68,1240
rhodobacter_sphaeroides,SRR072233.15425,520nt,118,90.68,34913
rhodobacter_sphaeroides,SRR072233.15504,230nt,184,100.00,75122
rhodobacter_sphaeroides,SRR072233.15505,483nt,322,99.07,738289
rhodobacter_sphaeroides,SRR072233.15665,477nt,412,98.79,1296245
rhodobacter_sphaeroides,SRR072233.15706,540nt,190,90.00,210
rhodobacter_sphaeroides,SRR072233.15706,540nt,190,91.58,210
rhodobacter_sphaeroides,SRR072233.15706,540nt,190,91.58,33883
rhodobacter_sphaeroides,SRR072233.15736,527nt,486,100.00,423839
rhodobacter_sphaeroides,SRR072233.15785,463nt,391,98.98,1697228
rhodobacter_sphaeroides,SRR072233.15831,563nt,57,98.28,96444
rhodobacter_sphaeroides,SRR072233.15833,549nt,56,91.07,1692
rhodobacter_sphaeroides,SRR072233.15833,549nt,56,91.07,1694
rhodobacter_sphaeroides,SRR072233.15833,549nt,56,91.07,35367
rhodobacter_sphaeroides,SRR072233.15904,474nt,423,100.00,1369042
rhodobacter_sphaeroides,SRR072233.15924,504nt,131,100.00,3026226
rhodobacter_sphaeroides,SRR072233.15935,521nt,463,98.71,442793
rhodobacter_sphaeroides,SRR072233.16021,510nt,510,100.00,586208
rhodobacter_sphaeroides,SRR072233.16077,509nt,166,98.19,50301
rhodobacter_sphaeroides,SRR072233.16083,634nt,244,99.59,186485
rhodobacter_sphaeroides,SRR072233.16112,475nt,44,90.91,528637
rhodobacter_sphaeroides,SRR072233.16115,478nt,380,100.00,395274
rhodobacter_sphaeroides,SRR072233.16188,498nt,284,98.94,110259
rhodobacter_sphaeroides,SRR072233.16266,445nt,394,99.75,271166
rhodobacter_sphaeroides,SRR072233.16339,375nt,231,95.26,2995362
rhodobacter_sphaeroides,SRR072233.16383,442nt,394,99.24,1308790
rhodobacter_sphaeroides,SRR072233.16394,498nt,497,99.80,771574
rhodobacter_sphaeroides,SRR072233.16399,474nt,465,98.72,2441354
rhodobacter_sphaeroides,SRR072233.16458,507nt,80,92.50,807264
rhodobacter_sphaeroides,SRR072233.16485,508nt,53,94.34,314867
rhodobacter_sphaeroides,SRR072233.16485,508nt,52,92.31,60998
rhodobacter_sphaeroides,SRR072233.16533,472nt,43,90.70,723464
rhodobacter_sphaeroides,SRR072233.16551,468nt,81,93.83,1388
rhodobacter_sphaeroides,SRR072233.16551,468nt,81,93.83,1390
rhodobacter_sphaeroides,SRR072233.16551,468nt,81,93.83,35063
rhodobacter_sphaeroides,SRR072233.16551,468nt,61,90.16,704752
rhodobacter_sphaeroides,SRR072233.16576,402nt,126,97.62,2682205
rhodobacter_sphaeroides,SRR072233.16741,442nt,396,100.00,1551493
rhodobacter_sphaeroides,SRR072233.16745,510nt,457,98.91,2027917
rhodobacter_sphaeroides,SRR072233.16783,480nt,479,99.58,177990
rhodobacter_sphaeroides,SRR072233.16874,592nt,208,93.81,303505
rhodobacter_sphaeroides,SRR072233.16882,109nt,76,100.00,1603016
rhodobacter_sphaeroides,SRR072233.16897,445nt,397,98.74,1700715
rhodobacter_sphaeroides,SRR072233.16918,500nt,493,99.80,38145
rhodobacter_sphaeroides,SRR072233.16956,580nt,147,100.00,2167562
rhodobacter_sphaeroides,SRR072233.16977,418nt,370,99.73,2110876
rhodobacter_sphaeroides,SRR072233.17044,482nt,430,99.77,825344
rhodobacter_sphaeroides,SRR072233.17123,509nt,53,92.45,213967
rhodobacter_sphaeroides,SRR072233.17143,577nt,74,93.24,1678857
rhodobacter_sphaeroides,SRR072233.17146,508nt,171,97.66,127070
rhodobacter_sphaeroides,SRR072233.17169,527nt,43,93.02,1270415
rhodobacter_sphaeroides,SRR072233.17281,442nt,389,99.49,2073241
